10S Timestamp,ID,Noise measurement (LAeq),Lighting measurement (Lux),"Over the last two weeks, when you are NOT in our experiment workspace, which type of work environment do you usually find yourself in during typical work hours (9 AM to 6 PM)?",TSV,TAV,TPV,APV,"Right now, do you find the overall thermal environment...?2",Satisfaction Vote,"Right now, how do your feel about odours (bad smell, mouldy smell etc.) in your work area?","Right now, how do you feel about the overall air quality in your work area?",Road Traffic Noise,Air-conditioning,Irrelevant Speech,Construction Noise,"Right now, to what extent is the overall surrounding sound environment appropriate for working?","Right now, how do you feel about the amount of ceiling light?","Right now, how do you feel about the amount of daylight or natural light?","If dissatisfied with the lighting, which of the following contribute to your dissatisfaction? (Select all that applies)","Please indicate the symptons you experience right now when you are in the building, but feel better or relief after leaving the building. (Select all that applies)",Please add any comments that you would like to share with us related to your work environment:,Mode,Session,1. Face,2. Chest,3. Back,4. Arm,5. Thigh,6. Lower Leg,Temperature,Globe Temperature,Air Speed,RH,CO2,MST,MST 2Min,MST 5Min,HR,HR 2Min,HR 5Min,Clo,MRT,SET,PMV,Week,Full Data
2024-04-15 10:49:00,11,45,240.3,Natural Ventilation with Fans (No AC),Slightly Cool,Clearly Acceptable,Without Change,No Change,Very Pleasant,Very Satisfied,Very Satisfied,Very Satisfied,Not At All,Not At All,Not At All,Not At All,Perfectly,Very Satisfied,Very Satisfied,None;,None;,,AC-24,M1,,,,,,,24.495833333333337,25.558333333333334,0.11166666666666665,63.44166666666666,593.5,32.630075833333336,32.61019791666667,32.53677208333333,88.56666666666666,89.18333333333334,88.68333333333334,0.42,26.8,24.7,-0.02,0,0
2024-04-15 10:56:00,33,46.0,426.1,,Cool,Clearly Acceptable,Without Change,More Air Movement,Pleasant,Satisfied,Neutral,Neutral,Moderately,Moderately,Moderately,Moderately,Moderately,Somewhat Dissatisfied,Somewhat Dissatisfied,Not Enough Daylight;,None;,,AC-24,M1,,,,,,,23.734166666666667,25.1,0.3641666666666666,64.3,511.0,31.933938166666664,31.950144,31.86909875,87.19166666666666,87.725,87.075,0.42,27.6,22.7,-0.94,0,1
2024-04-15 11:00:00,17,44.7,384.1,Air-Conditioned (AC only),Slightly Cool,Clearly Acceptable,Without Change,No Change,Very Pleasant,Very Satisfied,Satisfied,Satisfied,Not At All,Not At All,Not At All,Not At All,Perfectly,Satisfied,Satisfied,None;,None;,,AC-24,M1,,,,,,,24.206666666666667,25.391666666666666,0.15416666666666667,62.46666666666666,562.0833333333334,31.66032486111111,31.772962305555556,31.84526625,80.13333333333334,82.81666666666666,78.875,0.28,27.0,23.4,-0.66,0,1
2024-04-15 16:17:40,11,45.1,255.8,Natural Ventilation with Fans (No AC),Neutral,Clearly Acceptable,Without Change,No Change,Very Pleasant,Very Satisfied,Very Satisfied,Very Satisfied,Not At All,Not At All,Not At All,Not At All,Perfectly,Very Satisfied,Very Satisfied,None;,None;,,AC-24,M1,,,,,,,24.5025,25.291666666666668,0.09583333333333333,64.27499999999999,576.5833333333334,32.331502750000006,32.36564516666667,32.39870225,72.425,76.41666666666667,77.0,0.42,26.2,24.3,-0.2,0,0
2024-04-15 16:26:00,33,46.7,363.2,,Slightly Cool,Clearly Acceptable,Without Change,More Air Movement,Pleasant,Satisfied,Neutral,Neutral,Not At All,Moderately,Moderately,Not At All,Perfectly,Neutral,Neutral,None;,None;,,AC-24,M1,,,,,,,23.655833333333334,24.90833333333333,0.7075,63.741666666666674,510.0,32.307798,32.383075833333336,32.59467308333333,80.05833333333334,77.43333333333334,78.43333333333334,0.42,27.8,21.1,-1.5,0,1
2024-04-15 16:30:00,17,45.6,466.6,Air-Conditioned (AC only),Cool,Clearly Acceptable,Without Change,No Change,Very Pleasant,Very Satisfied,Very Satisfied,Very Satisfied,Slightly,Not At All,Slightly,Not At All,Very,Very Satisfied,Very Satisfied,None;,None;,,AC-24,M1,,,,,,,24.28583333333333,25.258333333333336,0.09666666666666668,60.93333333333333,563.5833333333334,31.361687944444444,31.24892,31.35165744444445,80.14166666666667,76.40833333333333,69.44166666666666,0.28,26.4,23.1,-0.6,0,1
2024-04-16 10:28:10,10,45,246.4,Air-Conditioned with Fans (AC plus Fan),Cool,Clearly Acceptable,Cooler,No Change,Very Pleasant,Very Satisfied,Satisfied,Satisfied,Very,Not At All,Very,Very,Perfectly,Satisfied,Satisfied,None;,None;,,AC-24,M1,,,,,,,24.5425,24.7925,0.24333333333333332,63.833333333333336,633.75,32.459283750000004,32.383671666666665,32.188877500000004,83.20833333333333,83.95,85.14166666666667,0.5900000000000001,25.1,24.2,-0.34,0,1
2024-04-16 10:30:50,9,45.4,211.2,Natural Ventilation with Fans (No AC),Neutral,Just Acceptable,Cooler,No Change,Indifferent,Slightly Satisfied,Satisfied,Somewhat Satisfied,Not At All,Slightly,Not At All,Not At All,Moderately,Somewhat Dissatisfied,Somewhat Dissatisfied,Too Bright;Glare;,None;,,AC-24,M1,,,,,,,24.618333333333336,25.34166666666667,0.12666666666666668,63.21666666666666,607.3333333333334,32.4520095,32.465623666666666,32.33660033333334,76.84166666666667,80.65,84.08333333333333,0.28,26.2,23.2,-0.54,0,1
2024-04-16 10:33:30,7,45.3,211.5,"Natural Ventilation (No AC, No Fan)",Cool,Clearly Acceptable,Without Change,No Change,Very Pleasant,Very Satisfied,Very Satisfied,Very Satisfied,Not At All,Not At All,Not At All,Not At All,Perfectly,Satisfied,Satisfied,Too Bright;,None;,,AC-24,M1,,,,,,,23.878333333333334,24.128333333333334,0.19916666666666663,63.041666666666664,614.0833333333334,31.573653750000002,31.59986508333333,31.638962333333332,64.28333333333333,63.36666666666667,61.766666666666666,0.28,24.5,21.3,-1.35,0,1
2024-04-16 10:35:40,17,367.3,45.8,Air-Conditioned (AC only),Cool,Clearly Acceptable,Without Change,No Change,Very Pleasant,Very Satisfied,Very Satisfied,Very Satisfied,Slightly,Not At All,Slightly,Not At All,Perfectly,Very Satisfied,Very Satisfied,None;,None;,,AC-24,M1,,,,,,,24.316666666666666,25.3,0.21916666666666665,63.03333333333333,584.4166666666666,33.00257275,33.04404147222222,33.1919925,83.225,81.65833333333333,88.76666666666667,0.48000000000000004,26.8,24.3,-0.38,0,1
